N E Topografia b-sedidmentos b-basalto b-and-cuater b-toba b-and-terc b-lechos
2170.5 550.5 -1.813 -1.813 -1.813 -1.803 -1.803 -1.455070331 -1.455070331
2170.5 551.5 -1.825 -1.825 -1.825 -1.815 -1.779893417 -1.416856788 -1.413167041
2170.5 552.5 -1.829 -1.829 -1.829 -1.819 -1.751668849 -1.374762395 -1.371070746
2170.5 553.5 -1.831 -1.831 -1.831 -1.821 -1.804981272 -1.335019923 -1.335019923
2170.5 554.5 -1.854 -1.854 -1.854 -1.836109324 -1.836109324 -1.309121139 -1.309121139
2170.5 555.5 -1.85 -1.84 -1.833581845 -1.833581845 -1.833581845 -1.296627869 -1.296627869
2170.5 556.5 -1.845 -1.835 -1.823751036 -1.823751036 -1.823751036 -1.292180956 -1.292180956
2170.5 557.5 -1.841 -1.820219963 -1.810107425 -1.810107425 -1.800135407 -1.287947703 -1.287947703
2170.5 558.5 -1.833 -1.79283144 -1.79283144 -1.790664667 -1.683318341 -1.279987453 -1.279987453
2170.5 559.5 -1.833 -1.790729572 -1.789721216 -1.772066101 -1.611138574 -1.269032556 -1.269032556
2170.5 560.5 -1.833 -1.805223283 -1.757125156 -1.757125156 -1.61933566 -1.25631429 -1.25631429
2170.5 561.5 -1.826 -1.797484357 -1.744678768 -1.744678768 -1.653964245 -1.2428229 -1.2428229
2170.5 562.5 -1.824 -1.785898717 -1.737472346 -1.737472346 -1.664660768 -1.230580537 -1.230580537
2170.5 563.5 -1.824 -1.791585357 -1.740442768 -1.740442768 -1.661099156 -1.22216138 -1.22216138
2170.5 564.5 -1.827 -1.762319422 -1.760744228 -1.75531591 -1.644935802 -1.218901676 -1.218901676
2170.5 565.5 -1.829 -1.812342859 -1.775465339 -1.775465339 -1.679909429 -1.219073056 -1.219073056
2170.5 566.5 -1.832 -1.806519259 -1.793687319 -1.793687319 -1.744829336 -1.219122867 -1.219122867
2170.5 567.5 -1.837 -1.817416902 -1.805210006 -1.805210006 -1.805210006 -1.216552596 -1.216552596
2170.5 568.5 -1.842 -1.825646677 -1.811398172 -1.811398172 -1.811398172 -1.211398172 -1.211398172
2171.5 436 -2.242 -2.242 -2.242 -2.184194652 -2.184194652 -1.983003274 -1.891904946
2171.5 536.5 -2.189 -2.189 -2.189 -2.062639357 -2.062639357 -1.854170228 -1.760658852
2171.5 537.5 -2.151 -2.151 -2.141 -1.968576517 -1.808118167 -1.772328989 -1.675703955
2171.5 538.5 -2.075 -2.075 -2.065 -1.875103984 -1.724913111 -1.69036708 -1.594290692
2171.5 539.5 -2.042 -2.042 -1.937772503 -1.79514986 -1.739183506 -1.617338686 -1.521693147
2171.5 540.5 -1.988 -1.988 -1.927171561 -1.749954429 -1.564490347 -1.564490347 -1.464883421
2171.5 541.5 -1.946 -1.946 -1.946 -1.730045186 -1.530045186 -1.530045186 -1.430045186
2171.5 542.5 -1.918 -1.918 -1.918 -1.712114142 -1.512114142 -1.512087597 -1.412087597
2171.5 543.5 -1.91 -1.91 -1.91 -1.70443113 -1.50443113 -1.50443113 -1.40443113
2171.5 544.5 -1.909 -1.909 -1.909 -1.710380032 -1.510380032 -1.510380032 -1.410380032
2171.5 545.5 -1.902 -1.902 -1.902 -1.727310842 -1.527310842 -1.52424956 -1.42424956
2171.5 546.5 -1.885 -1.885 -1.885 -1.749887289 -1.549887289 -1.529930016 -1.432569333
2171.5 547.5 -1.856 -1.856 -1.856 -1.773786581 -1.573786581 -1.50339065 -1.442751625
2171.5 548.5 -1.832 -1.832 -1.832 -1.79229903 -1.79229903 -1.455563301 -1.441872426
2171.5 549.5 -1.816 -1.816 -1.816 -1.806 -1.806 -1.414240599 -1.414240599
2171.5 550.5 -1.878 -1.878 -1.878 -1.84070359 -1.84070359 -1.378611923 -1.378611923
2171.5 551.5 -1.94 -1.94 -1.94 -1.865888867 -1.865888867 -1.341467233 -1.341467233
2171.5 552.5 -1.923 -1.923 -1.923 -1.856700841 -1.856700841 -1.298826072 -1.298826072
2171.5 553.5 -1.837 -1.837 -1.837 -1.827 -1.827 -1.259720257 -1.259720257
2171.5 554.5 -1.824 -1.824 -1.824 -1.814 -1.814 -1.240357172 -1.240357172
2171.5 555.5 -1.818 -1.818 -1.818 -1.808 -1.808 -1.240040791 -1.240040791
2171.5 556.5 -1.817 -1.807 -1.807 -1.807 -1.807 -1.247905503 -1.247905503
2171.5 557.5 -1.818 -1.806510526 -1.806360756 -1.806360756 -1.806360756 -1.250074221 -1.250074221
2171.5 558.5 -1.816 -1.788106165 -1.788106165 -1.788106165 -1.669709746 -1.240562126 -1.240562126
2171.5 559.5 -1.816 -1.797156038 -1.797156038 -1.764291825 -1.595336093 -1.222618132 -1.222618132
2171.5 560.5 -1.816 -1.785306049 -1.762831192 -1.742665182 -1.586956185 -1.200043098 -1.199819368
2171.5 561.5 -1.82 -1.81 -1.722657609 -1.722657609 -1.6382584 -1.176155791 -1.174771327
2171.5 562.5 -1.825 -1.815 -1.725528275 -1.707403748 -1.657339064 -1.154074594 -1.151892835
2171.5 563.5 -1.824 -1.814 -1.732823461 -1.70172583 -1.645600334 -1.137295977 -1.135983405
2171.5 564.5 -1.823 -1.763784207 -1.757179402 -1.711950845 -1.570099568 -1.129423624 -1.129290843
2171.5 565.5 -1.825 -1.815 -1.732147423 -1.731020205 -1.581975129 -1.129602439 -1.129602439
